"timestamp","session_id","request_id","tag_id","domain_string","url_string","device_type","browser_brand","lcp","fcp","cls","inp","ttfb"
"2024-03-27 18:25:35.859386","c9b78b45-66ae-49f5-9c2a-5ef9fe4866b7","673ee167-9930-4763-857e-a7a312abe681","cGbonAJm","auditzy.com","/blog/mobile-friendly-tests-the-ultimate-guide-for-seamless-user-experience","desktop","Microsoft Edge",577,577,"0.02657260299985629",64,218
"2024-03-27 20:32:32.119852","7de7aa15-87df-445d-9716-e19cdd3767c1","12468d63-b7a8-4dcd-9214-3cc6163b0847","cGbonAJm","auditzy.com","/","desktop","Google Chrome",793,793,"0",40,478
"2024-03-28 03:53:53.274617","3f694230-52cb-4f2d-8e2a-9a9b3fdd121f","b3e2b348-7a2d-433c-b2cb-71c718a9ff3f","cGbonAJm","auditzy.com","/features/website-technology-checker","mobile","Google Chrome",1537,1537,"0",392,440
"2024-03-28 04:24:05.560718","ec3083b4-a4ff-45e5-a85a-cff6539458d4","fa8be25b-be91-4628-a65b-250e931692aa","cGbonAJm","auditzy.com","/blog/check-website-core-web-vitals-history","desktop","Google Chrome",854,854,"0.01828260288617098",0,655
"2024-03-28 04:31:21.404477","301138f1-22ff-441c-98b0-8c6ffcc74d63","e8b2c458-fec8-47f6-a12d-ad28823d9ac2","cGbonAJm","auditzy.com","/features/core-web-vital-checker/report","desktop","Google Chrome",873,873,"0.12396321667991099",168,606
"2024-03-28 04:37:52.587747","8db75ef1-9b60-45ab-8fb7-c07cd55d0058","965ab89e-29eb-414b-ada5-e1b366009dbb","cGbonAJm","auditzy.com","/features/core-web-vital-checker/report","desktop","Google Chrome",203,203,"0.22476498973488573",136,29
"2024-03-28 04:53:40.606195","6de3700a-ed9f-4884-92aa-038949cf5912","671c973f-2fb2-49f3-a888-20f1d434cfde","cGbonAJm","auditzy.com","/features/website-technology-checker","desktop","Google Chrome",56,56,"0",32,0
"2024-03-28 04:59:15.741068","1e55a833-0cac-46e5-bc73-1d820b889094","49d58ac8-b470-4219-8092-69ab82d3c2cd","cGbonAJm","auditzy.com","/features/core-web-vital-checker","desktop","Google Chrome",936,443,"0.03308788964832426",40,135
"2024-03-28 05:57:57.277079","4944022b-2d24-4a22-989e-a474178b428f","707bbd46-837a-44d3-ae27-c4c2f349a69f","cGbonAJm","auditzy.com","/","desktop","Chromium",306,306,"0.054353329300085206",0,179
"2024-03-28 06:04:00.819225","e5d5eb42-96bb-4cac-858d-dab6dbdb9465","091f72d6-6a80-47df-b492-838bc9a691e8","cGbonAJm","auditzy.com","/features/core-web-vital-checker/report","desktop","Google Chrome",73,73,"0.2854414685708175",56,6
